PerformanceID,StudentID,Term,CourseCode,CreditHoursAttempted,CreditHoursEarned,FinalGrade,TermGPA,CumulativeGPA,AcademicStanding
PERF000001,WMU00139,Spring 2025,DATA4020,9,6,C,1.9,2.33,Dean's List
PERF000002,WMU00433,Spring 2024,PSYC1100,9,9,C,3.31,3.66,Dean's List
PERF000003,WMU00274,Spring 2025,STAT3010,6,6,C,3.9,2.35,Dean's List
PERF000004,WMU00290,Fall 2024,PSYC1100,15,15,D,2.23,3.96,Dean's List
PERF000005,WMU00207,Spring 2024,STAT3010,3,3,C,3.39,3.71,Good Standing
PERF000006,WMU00077,Fall 2024,STAT3010,12,9,B,4.8,2.61,Good Standing
PERF000007,WMU00126,Fall 2024,DATA4020,3,3,W,1.56,1.99,Dean's List
PERF000008,WMU00380,Spring 2025,DATA4020,9,6,C,3.66,2.93,Good Standing
PERF000009,WMU00331,Fall 2023,PSYC1100,12,12,W,1.77,2.33,Good Standing
PERF000010,WMU00180,Fall 2025,PSYC1100,6,6,C,3.31,2.1,Good Standing
PERF000011,WMU00185,Fall 2024,BUS2200,15,15,A,2.22,3.21,Probation
PERF000012,WMU00320,Fall 2024,STAT3010,12,12,B,2.02,3.48,Probation
PERF000013,WMU00357,Fall 2025,STAT3010,15,15,F,2.29,3.36,Dean's List
PERF000014,WMU00113,Fall 2024,BUS2200,15,15,B,3.51,2.0,Dean's List
PERF000015,WMU00483,Spring 2025,CS3100,9,6,W,3.7,2.07,Good Standing
PERF000016,WMU00294,Fall 2024,CS3100,9,9,B,2.98,3.19,Good Standing
PERF000017,WMU00018,Fall 2024,ECON2020,6,6,B,2.51,2.51,Good Standing
PERF000018,WMU00337,Fall 2024,MATH2010,3,0,A,3.31,3.9,Dean's List
PERF000019,WMU00163,Spring 2025,PSYC1100,15,15,D,1.74,3.91,Dean's List
PERF000020,WMU00380,Fall 2025,PSYC1100,15,15,A,3.78,-0.2,Good Standing
PERF000021,WMU00194,Fall 2023,PSYC1100,12,12,F,1.77,3.51,Good Standing
PERF000022,WMU00106,Fall 2023,CS3100,9,9,F,2.81,1.83,Dean's List
PERF000023,WMU00060,Spring 2025,DATA4020,9,6,W,3.26,2.38,Probation
PERF000024,WMU00054,Fall 2025,PSYC1100,12,12,W,3.77,3.82,Good Standing
PERF000025,WMU00327,Fall 2025,ECON2020,9,9,F,3.48,2.09,Good Standing
PERF000026,WMU00156,Fall 2025,MATH2010,9,9,F,1.68,2.07,Probation
PERF000027,WMU00069,Fall 2024,MATH2010,6,6,B,2.08,2.97,Probation
PERF000028,WMU00172,Fall 2024,PSYC1100,9,9,A+,1.85,3.99,Good Standing
PERF000029,WMU00391,Fall 2024,STAT3010,12,12,B,3.02,2.91,Good Standing
PERF000030,WMU00472,Spring 2025,STAT3010,9,6,C,2.34,2.72,Good Standing
PERF000031,WMU00162,Fall 2023,DATA4020,3,3,W,3.37,3.41,Good Standing
PERF000032,WMU00099,Fall 2025,CS3100,15,12,W,1.61,2.61,Good Standing
