EnrollmentID,StudentID,Term,AcademicYear,EnrollmentStatus,CreditHours,ResidencyStatus,Campus,EnrollmentDate
ENR000001,WMU00001,Spring 2025,2025,Enrolled,3,International,Online,2025-05-05
ENR000002,WMU00001,Fall 2023,2023,Withdrawn,9,International,Main Campus,2023-09-23
ENR000003,WMU00001,Spring 2024,2024,Withdrawn,12,Out-of-State,Online,2024-12-25
ENR000004,WMU99999,Fall 2025,2025,Completed,3,In-State,Main Campus,2025-07-23
ENR000005,WMU00002,Fall 2023,2023,Enrolled,3,Out-of-State,Regional Campus,2023-06-03
ENR000006,WMU00002,Fall 2024,2024,Enrolled,12,International,Main Campus,2024-03-18
ENR000007,WMU00002,Spring 2024,2024,Withdrawn,3,International,Main Campus,2024-05-23
ENR000008,WMU00002,Spring 2025,2025,Enrolled,12,International,Regional Campus,2025-06-16
ENR000009,WMU00002,Fall 2025,2025,Withdrawn,3,International,Main Campus,2025-03-02
ENR000010,WMU00003,Fall 2023,2023,Enrolled,12,International,Regional Campus,2023-05-16
ENR000011,WMU00003,Spring 2024,2024,Withdrawn,15,In-State,Main Campus,2024-06-02
ENR000012,WMU00003,Spring 2025,2025,Enrolled,9,Out-of-State,Main Campus,2025-04-26
ENR000013,WMU00004,Fall 2025,2025,Enrolled,3,Out-of-State,Regional Campus,2025-01-16
ENR000014,WMU00004,Spring 2024,2024,Enrolled,15,In-State,Regional Campus,2024-11-05
ENR000015,WMU00004,Fall 2024,2024,Enrolled,0,International,Main Campus,2024-05-27
ENR000016,WMU00004,Fall 2023,2023,Withdrawn,3,International,Main Campus,2023-10-03
ENR000017,WMU00004,Spring 2025,2025,Enrolled,3,Out-of-State,Regional Campus,2025-10-08
ENR000018,WMU00005,Spring 2024,2024,Withdrawn,9,Out-of-State,Main Campus,2024-11-19
ENR000019,WMU00005,Spring 2025,2025,Enrolled,15,Out-of-State,Main Campus,2025-01-19
ENR000020,WMU00006,Fall 2024,2024,Enrolled,9,Out-of-State,Main Campus,2024-12-12
ENR000021,WMU00006,Fall 2023,2023,Enrolled,15,Out-of-State,Main Campus,2023-10-02
ENR000022,WMU00006,Spring 2025,2025,Enrolled,6,International,Regional Campus,2025-07-25
